fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
16.9,2009-07-31 13:53:52 UTC,-73.990057,40.756307,-73.949604,40.834464,1
10.5,2012-11-18 12:17:00 UTC,-74.002198,40.739608,-73.987342,40.720295,2
8.9,2011-06-15 18:07:00 UTC,-73.99633,40.753225,-73.978895,40.766963,3
7.5,2012-08-25 01:53:42 UTC,-73.995892,40.746454,-73.995892,40.746454,1
5.5,2012-09-06 13:41:00 UTC,-74.005583,40.740728,-74.003423,40.748705,1
10.9,2009-05-13 18:17:00 UTC,-73.964958,40.775261,-73.949661,40.809689,1
8.1,2009-10-30 18:13:00 UTC,0,0,0,0,4
5.7,2010-01-17 22:07:00 UTC,-73.967598,40.756242,-73.953277,40.76833,1
18.1,2009-12-06 11:58:29 UTC,-74.008134,40.748631,-73.952349,40.780512,2
10.9,2010-06-30 06:15:00 UTC,-73.95394,40.781298,-73.994423,40.75014,5
8.9,2011-04-04 18:56:00 UTC,-73.939093,40.805102,-73.956073,40.771995,5
13.5,2014-03-03 23:30:00 UTC,-73.981627,40.78042,-74.008465,40.734012,2
5,2014-05-19 20:59:26 UTC,-74.00269,40.739438,-73.994579,40.75057,2
5.3,2011-12-07 19:40:21 UTC,-73.958749,40.781019,-73.945876,40.778165,1
7.7,2012-06-17 02:05:53 UTC,-73.98779,40.721226,-73.992425,40.735723,1
9,2013-01-01 14:26:00 UTC,-73.969465,40.79798,-73.982315,40.776767,1
16.1,2011-10-08 00:24:00 UTC,-73.988568,40.732097,-73.957498,40.742657,1
4.9,2012-07-30 16:19:08 UTC,-73.966597,40.794345,-73.965682,40.803808,2
5.5,2012-09-09 10:24:15 UTC,-73.999432,40.749066,-73.995077,40.738264,1
57.33,2013-06-14 17:37:00 UTC,-73.781127,40.645007,-73.981802,40.762515,1
8.5,2014-02-28 22:45:07 UTC,-73.956606,40.771111,-73.977111,40.776811,3
9.5,2014-06-10 14:18:29 UTC,-73.981932,40.777668,-73.960058,40.809688,1
7.5,2015-03-29 13:31:25 UTC,-73.95310211,40.7887001,-73.95677948,40.80590439,1
6.9,2009-12-14 12:33:00 UTC,-73.982432,40.745747,-73.982432,40.745747,1
7.5,2013-09-21 02:54:00 UTC,-73.991995,40.74499,-73.986237,40.729637,2
8.1,2009-08-31 10:25:00 UTC,-73.988988,40.777013,-73.997445,40.760155,1
6.1,2011-01-18 23:48:00 UTC,-74.006642,40.738927,-74.010828,40.717907,5334
5.7,2012-06-26 13:08:14 UTC,-73.966612,40.759278,-73.975773,40.755462,1
14.1,2010-01-21 08:39:00 UTC,-73.987365,40.738572,-73.977218,40.775352,1
5.7,2011-07-21 15:43:00 UTC,-73.989807,40.74123,-73.993917,40.726492,1
7,2013-11-06 11:26:54 UTC,-73.95906,40.781061,-73.96206,40.768604,1
12,2014-02-09 02:17:00 UTC,-73.985652,40.72212,-73.970955,40.751952,1
11.5,2015-04-18 08:29:08 UTC,-73.95511627,40.76898956,-73.98423767,40.74843979,1
12.1,2010-03-27 22:20:51 UTC,-73.870936,40.773703,-73.914269,40.753681,1
26.67,2010-06-15 13:31:08 UTC,-73.958063,40.760414,-73.861443,40.768181,1
4.5,2010-09-13 09:37:00 UTC,-73.98674,40.755362,-73.995713,40.764137,1
10.1,2011-04-04 20:59:01 UTC,-73.984556,40.742882,-73.959081,40.763551,1
7.7,2011-05-08 10:43:27 UTC,-73.981019,40.781874,-73.981997,40.756597,1
,2014-07-11 05:07:00 UTC,-73.95166,40.772657,-74.010583,40.721405,2
19,2014-08-21 10:21:17 UTC,-73.97402,40.762828,-73.940839,40.726467,1
14,2013-10-31 11:49:16 UTC,-73.988594,40.753364,-73.989319,40.723218,1
5,2013-11-15 01:51:35 UTC,-73.987888,40.721048,-73.983132,40.731187,1
43.5,2015-05-10 22:41:10 UTC,-73.98020935,40.78373337,-74.01134491,40.64415741,1
8,2015-06-20 09:50:28 UTC,-74.01072693,40.71009064,-73.99810028,40.72290039,1
8.7,2009-03-13 17:43:18 UTC,-73.977984,40.754546,-73.958947,40.779093,4
